gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg,name,year_range,season_type,failedShotsPerGame,savesPerGame,D1,ties,adjWins
82,47,29,6,100,61,3.293,3.024,0.9148,26.1,68,53,260,80,34.4268,31.1341,0.702,0.4,0.821,0.923,0.64,0.483,5118,2572,2546,50.2,9.6,0.903,Pittsburgh Penguins,20172018,regular,31.1218272,28.1140923,high,6,50
82,50,20,12,112,68.3,3.256,2.573,1.2029,23.6,61,40,259,83.7,32.9634,29.2561,0.784,0.467,0.857,0.892,0.68,0.577,5078,2577,2501,50.8,9.9,0.912,Boston Bruins,20172018,regular,29.7000234,26.6815632,high,12,56
82,25,45,12,62,37.8,2.415,3.39,0.6761,19.1,49,52,257,77.9,31.1829,32.6951,0.541,0.111,0.55,0.727,0.278,0.316,4927,2539,2388,51.5,7.7,0.896,Buffalo Sabres,20172018,regular,28.7818167,29.2948096,low,12,31
82,29,40,13,71,43.3,2.524,3.146,0.8228,21.2,52,68,245,74.1,32.7683,32.3171,0.447,0.273,0.714,0.778,0.378,0.341,5037,2395,2642,47.5,7.7,0.903,Montréal Canadiens,20172018,regular,30.2451409,29.1823413,low,13,35.5
82,28,43,11,67,40.9,2.671,3.463,0.7677,16.6,41,56,247,76.2,30.6707,33.0732,0.533,0.231,0.727,0.727,0.412,0.283,4969,2499,2470,50.3,8.7,0.895,Ottawa Senators,20172018,regular,28.0023491,29.600514,low,11,33.5
82,49,26,7,105,64,3.293,2.805,1.1835,25,56,43,224,81.4,32.1951,33.8537,0.78,0.313,0.838,0.861,0.5,0.652,5187,2688,2499,51.8,10.2,0.917,Toronto Maple Leafs,20172018,regular,28.9111998,31.0438429,high,7,52.5
82,36,35,11,83,50.6,2.744,3.085,0.8659,18.4,44,43,239,77.5,33.9024,28.8659,0.63,0.194,0.667,0.778,0.526,0.261,4798,2594,2204,54.1,8.1,0.893,Carolina Hurricanes,20172018,regular,31.1563056,25.7772487,high,11,41.5
82,44,30,8,96,58.5,2.988,2.963,0.994,18.9,47,45,249,80.2,34.4146,34.6098,0.717,0.306,0.871,0.935,0.444,0.605,5236,2657,2579,50.7,8.7,0.914,Florida Panthers,20172018,regular,31.4205298,31.6333572,high,8,48
82,54,23,5,113,68.9,3.537,2.854,1.3425,23.9,66,64,276,76.1,32.6829,32.7195,0.837,0.462,0.821,0.923,0.683,0.625,5062,2441,2621,48.2,10.8,0.913,Tampa Bay Lightning,20172018,regular,29.1531468,29.8729035,high,5,56.5
82,49,26,7,105,64,3.122,2.902,1.1104,22.5,55,53,244,80.3,29.0122,31.8659,0.811,0.422,0.966,0.9,0.679,0.56,4894,2467,2427,50.4,10.8,0.909,Washington Capitals,20172018,regular,25.8788824,28.9661031,high,7,52.5
82,33,39,10,76,46.3,2.78,3.098,0.9023,16,43,49,269,79.2,34.061,32.8902,0.543,0.222,0.581,0.769,0.395,0.4,5019,2472,2547,49.2,8.2,0.906,Chicago Blackhawks,20172018,regular,31.267998,29.7985212,low,10,38
82,30,39,13,73,44.5,2.585,3.098,0.8862,17.5,41,58,234,77.5,30.3659,31.8659,0.524,0.2,0.68,0.793,0.344,0.356,5009,2447,2562,48.9,8.5,0.903,Detroit Red Wings,20172018,regular,27.7847985,28.7749077,low,13,36.5
82,53,18,11,117,71.3,3.183,2.488,1.3125,21.2,58,54,273,81.9,32.2073,32.4268,0.804,0.387,0.742,0.86,0.576,0.698,5165,2753,2412,53.3,9.9,0.923,Nashville Predators,20172018,regular,29.0187773,29.9299364,high,11,58.5
82,44,32,6,94,57.3,2.72,2.707,1.087,15.4,38,47,246,79.7,32.6463,29.7317,0.756,0.27,0.889,0.914,0.561,0.48,4915,2487,2428,50.6,8.3,0.909,St. Louis Blues,20172018,regular,29.9366571,27.0261153,high,6,47
82,37,35,10,84,51.2,2.634,2.963,0.9304,16,43,49,269,81.8,33.6463,31.1463,0.647,0.313,0.696,0.833,0.429,0.483,5056,2496,2560,49.4,7.8,0.905,Calgary Flames,20172018,regular,31.0218886,28.1874015,high,10,42
