,goalsPerGame,goalsAgainstPerGame,powerPlayPercentage,penaltyKillPercentage,shotsPerGame,shotsAllowed,shootingPctg,savePctg,savesPerGame,failedShotsPerGame,ties,winScoreFirstGreater61_high,aboveMeanAdjWins
46,3.775,3.638,21.6,77.2,31.4375,32.25,12.0,88.7,28.60575,27.665,9,0,1.5
47,4.425,3.938,24.3,76.2,34.5625,31.425,12.8,87.5,27.496875,30.1385,9,1,4.5
48,5.325,3.875,26.3,81.1,33.0625,34.725,16.1,88.8,30.835800000000003,27.739437499999998,7,1,19.5
49,3.525,4.163,21.2,78.6,29.525,30.1875,11.9,86.2,26.021625,26.011525,13,0,-10.5
50,3.55,4.863,17.5,71.9,30.3,32.625,11.7,85.1,27.763875,26.7549,8,0,-13.0
51,3.663,4.6,21.9,73.2,29.4625,33.6375,12.4,86.3,29.0291625,25.80915,6,0,-7.911764705882355
52,3.488,3.513,25.1,78.0,31.0125,27.8375,11.2,87.4,24.329974999999997,27.5391,12,0,1.088235294117645
53,3.838,4.038,19.9,81.1,30.9,31.9625,12.4,87.4,27.935225,27.0684,8,1,-1.911764705882355
54,3.875,3.063,19.0,82.2,30.175,30.7125,12.8,90.0,27.64125,26.3126,8,1,10.088235294117645
55,3.713,3.625,20.9,76.1,30.325,29.45,12.2,87.7,25.82765,26.62535,12,0,-3.911764705882355
56,3.763,3.45,19.6,81.5,30.0625,29.6,12.5,88.3,26.1368,26.3046875,7,0,2.588235294117645
57,3.5,3.85,18.6,75.6,30.325,29.0625,11.5,86.8,25.22625,26.837625,8,0,-7.911764705882355
58,3.463,3.013,21.0,83.3,28.0,27.125,12.4,88.9,24.114125,24.528,10,0,6.088235294117645
59,3.575,3.988,17.2,78.0,30.125,32.4375,11.9,87.7,28.4476875,26.540125,6,0,-4.911764705882355
60,3.563,3.475,19.2,80.9,28.425,29.525,12.5,88.2,26.04105,24.871875,10,0,3.088235294117645
61,3.625,3.875,17.0,76.2,32.0125,33.875,11.3,88.6,30.01325,28.395087500000002,14,0,-3.911764705882355
62,3.25,3.425,20.5,78.6,27.175,28.8125,12.0,88.1,25.3838125,23.914,10,1,-0.911764705882355
63,3.513,3.663,24.6,81.4,29.3375,29.55,12.0,87.6,25.8858,25.817,15,0,-0.41176470588235503
64,3.975,3.613,25.0,79.8,31.6,30.325,12.6,88.1,26.716325,27.6184,3,1,7.588235294117645
65,4.65,3.55,22.4,80.0,29.4625,29.625,15.8,88.0,26.07,24.807425,6,1,13.088235294117645
66,3.525,3.925,23.3,75.9,29.725,28.5125,11.9,86.2,24.577775,26.187725,8,0,-6.911764705882355
67,3.975,4.263,25.3,73.1,30.9125,31.125,12.9,86.3,26.860875,26.9247875,8,0,-4.911764705882355
68,3.688,3.7,20.8,78.4,29.95,28.0,12.3,86.8,24.304,26.26615,6,1,-0.352941176470587
69,3.85,3.338,22.5,77.4,30.2125,31.6125,12.7,89.4,28.261575,26.3755125,10,1,2.647058823529413
70,3.75,3.538,22.6,80.6,31.7625,30.475,11.8,88.4,26.9399,28.014525,10,0,-0.352941176470587
71,3.65,3.65,18.0,81.0,31.025,30.55,11.8,88.1,26.914550000000002,27.36405,9,1,1.147058823529413
72,3.988,3.95,22.2,76.4,31.3,31.05,12.7,87.3,27.106650000000002,27.3249,9,1,-0.852941176470587
73,3.75,3.138,16.6,83.5,32.4125,27.2,11.6,88.5,24.072,28.65265,6,1,5.647058823529413
74,3.538,3.813,17.2,78.1,29.875,32.2125,11.8,88.2,28.411424999999998,26.34975,11,1,1.147058823529413
75,3.725,2.975,15.9,83.8,29.9625,28.775,12.4,89.7,25.811175,26.247149999999998,13,1,10.147058823529413
76,3.413,4.313,15.6,77.9,30.1375,33.9875,11.3,87.3,29.6710875,26.731962499999998,10,0,-15.352941176470587
77,3.513,3.113,20.0,81.0,30.7625,27.825,11.4,88.8,24.7086,27.255575,9,0,1.147058823529413
78,3.55,4.1,23.2,80.2,29.3375,35.675,12.1,88.5,31.572374999999997,25.7876625,9,0,-6.852941176470587
79,4.025,3.363,18.8,83.9,28.1875,30.2375,14.3,88.9,26.8811375,24.1566875,11,0,5.147058823529413
80,3.475,3.675,19.9,79.3,28.5625,30.3125,12.2,87.9,26.6446875,25.077875,8,0,-3.352941176470587
81,4.963,3.813,28.5,80.4,33.325,29.65,14.9,87.1,25.825149999999997,28.359575000000003,9,1,11.147058823529413
82,4.538,3.6,21.9,80.8,29.2625,29.55,15.5,87.8,25.9449,24.726812499999998,11,1,8.147058823529413
83,3.4,4.0,18.6,79.5,28.7625,30.4625,11.8,86.9,26.4719125,25.368524999999998,9,0,-11.852941176470587
84,3.975,4.488,21.7,77.4,30.75,32.1125,12.9,86.0,27.616749999999996,26.78325,8,0,-7.352941176470587
85,3.513,4.063,18.3,75.4,31.2,29.8875,11.3,86.4,25.8228,27.6744,12,0,-8.352941176470587
86,3.313,4.063,22.5,73.6,30.3625,30.7875,10.9,86.8,26.72355,27.0529875,5,0,-10.852941176470587
87,3.875,3.838,18.6,77.0,34.0125,30.7125,11.4,87.5,26.873437499999998,30.135075000000004,8,1,-0.352941176470587
88,3.838,3.563,26.7,81.5,29.8625,30.55,12.9,88.3,26.97565,26.0102375,8,0,-1.352941176470587
89,4.338,4.363,24.5,77.0,28.5125,35.7,15.2,87.8,31.344600000000003,24.1786,7,1,2.147058823529413
90,3.613,3.2,19.9,82.0,31.375,26.75,11.5,88.0,23.54,27.766875,14,0,2.647058823529413
91,3.638,3.738,20.5,79.0,27.9,29.725,13.0,87.4,25.97965,24.273,7,0,0.14705882352941302
92,3.938,2.725,21.0,82.2,30.85,26.5375,12.8,89.7,23.804137500000003,26.901200000000003,9,1,16.147058823529413
93,3.238,4.275,16.7,72.7,27.0625,34.2875,12.0,87.5,30.001562500000002,23.815,6,0,-10.352941176470587
94,3.813,3.238,21.8,79.8,31.175,27.55,12.2,88.2,24.2991,27.371650000000002,10,0,4.647058823529413
