gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg,id,name,year_range,name_year,failed_playoff_flag
80,41,27,0,94,58.8,4.538,3.775,24.8,79,319,74.2,34.9375,31.2,0.743,0.333,0.852,0.938,0.659,0.5,0,0,0,0,13,0.879,20,Calgary Flames,19841985,Calgary Flames1985,0
80,49,20,0,109,68.1,5.013,3.725,25.7,74,288,78.3,32.4375,32.85,0.708,0.469,0.938,0.973,0.788,0.618,0,0,0,0,15.5,0.887,22,Edmonton Oilers,19841985,Edmonton Oilers1985,0
80,25,46,0,59,36.9,3.55,5.013,19.5,61,313,70.5,31.1625,33.2625,0.405,0.211,0.667,0.833,0.423,0.341,0,0,0,0,11.4,0.849,23,Vancouver Canucks,19841985,Vancouver Canucks1985,1
80,34,32,0,82,51.3,4.238,4.075,23.5,87,370,81.9,31.8875,30.3375,0.571,0.263,0.75,0.818,0.526,0.48,0,0,0,0,13.3,0.866,26,Los Angeles Kings,19841985,Los Angeles Kings1985,0
80,28,49,0,59,36.9,3.75,4.675,19.6,70,358,74.2,29.175,31.1625,0.444,0.273,0.571,0.652,0.371,0.375,0,0,0,0,12.9,0.85,1,New Jersey Devils,19851986,New Jersey Devils1986,1
80,39,29,0,90,56.3,4.088,3.55,22.7,73,321,78.4,29.4,33.2375,0.595,0.368,0.767,0.861,0.714,0.488,0,0,0,0,13.9,0.893,2,New York Islanders,19851986,New York Islanders1986,0
80,36,38,0,78,48.8,3.5,3.45,20.1,73,363,77.8,31.825,29.975,0.579,0.333,0.759,0.811,0.535,0.433,0,0,0,0,11,0.885,3,New York Rangers,19851986,New York Rangers1986,0
80,53,23,0,110,68.8,4.188,3.013,23.6,91,385,82.8,34.125,28.8875,0.731,0.536,0.865,0.951,0.72,0.68,0,0,0,0,12.3,0.896,4,Philadelphia Flyers,19851986,Philadelphia Flyers1986,0
80,34,38,0,76,47.5,3.913,3.813,22.5,93,413,77,30.225,31.1125,0.59,0.268,0.76,0.926,0.563,0.395,0,0,0,0,12.9,0.877,5,Pittsburgh Penguins,19851986,Pittsburgh Penguins1986,1
80,37,31,0,86,53.8,3.888,3.6,22.6,95,420,76,30.7625,27.2875,0.581,0.324,0.893,0.909,0.571,0.455,0,0,0,0,12.6,0.868,6,Boston Bruins,19851986,Boston Bruins1986,0
80,37,37,0,80,50,3.7,3.638,21.6,72,333,80.5,29.975,29.8875,0.571,0.29,0.667,0.862,0.583,0.405,0,0,0,0,12.3,0.878,7,Buffalo Sabres,19851986,Buffalo Sabres1986,1
80,40,33,0,87,54.4,4.125,3.5,25.2,87,345,79.3,29.425,27.1125,0.675,0.325,0.788,0.939,0.652,0.36,0,0,0,0,14,0.871,8,Montreal Canadiens,19851986,Montreal Canadiens1986,0
80,25,48,0,57,35.6,3.888,4.825,18.3,67,366,77.3,31.325,34.6625,0.324,0.302,0.5,0.864,0.462,0.295,0,0,0,0,12.4,0.861,10,Toronto Maple Leafs,19851986,Toronto Maple Leafs1986,0
80,50,23,0,107,66.9,3.938,3.4,22.8,82,359,81,30.3,27.7,0.786,0.447,0.879,0.95,0.682,0.692,0,0,0,0,13,0.877,15,Washington Capitals,19851986,Washington Capitals1986,0
80,39,33,0,86,53.8,4.388,4.363,25.9,85,328,77.9,32.4375,34.8875,0.641,0.341,0.818,0.96,0.36,0.622,0,0,0,0,13.5,0.875,16,Chicago Blackhawks,19851986,Chicago Blackhawks1986,0
