,aboveMeanAdjWins,failed_playoff_flag
0,-19.470588235294116,1
1,12.029411764705884,0
2,6.529411764705884,0
3,9.029411764705884,0
4,-20.970588235294116,1
5,12.029411764705884,0
6,11.529411764705884,0
7,-2.470588235294116,0
8,-9.470588235294116,1
9,10.529411764705884,0
10,-5.970588235294116,0
11,-5.470588235294116,0
12,-4.470588235294116,0
13,1.029411764705884,0
14,19.529411764705884,0
15,-3.470588235294116,0
16,-10.470588235294116,1
17,-13.058823529411768,1
18,2.941176470588232,0
19,-9.058823529411768,0
20,16.441176470588232,0
21,-13.558823529411768,1
22,0.941176470588232,0
23,4.941176470588232,0
24,6.941176470588232,0
25,-16.058823529411768,1
26,10.441176470588232,0
27,1.441176470588232,0
28,-7.058823529411768,0
29,2.941176470588232,0
30,6.941176470588232,0
31,14.441176470588232,0
32,-10.558823529411768,1
33,0.941176470588232,0
34,-10.5,1
35,5.0,0
36,-1.0,0
37,15.0,0
38,-2.0,1
39,3.0,0
40,0.0,1
41,3.5,0
42,-11.5,0
43,13.5,0
44,3.0,0
45,-20.0,1
46,1.5,0
47,4.5,0
48,19.5,0
49,-10.5,0
50,-13.0,1
51,-7.911764705882355,1
52,1.088235294117645,0
53,-1.911764705882355,0
54,10.088235294117645,0
55,-3.911764705882355,1
56,2.588235294117645,0
57,-7.911764705882355,1
58,6.088235294117645,0
59,-4.911764705882355,0
60,3.088235294117645,0
61,-3.911764705882355,0
62,-0.911764705882355,0
63,-0.41176470588235503,0
64,7.588235294117645,0
65,13.088235294117645,0
66,-6.911764705882355,1
67,-4.911764705882355,0
68,-0.352941176470587,0
69,2.647058823529413,0
70,-0.352941176470587,1
71,1.147058823529413,0
72,-0.852941176470587,1
73,5.647058823529413,0
74,1.147058823529413,0
75,10.147058823529413,0
76,-15.352941176470587,0
77,1.147058823529413,0
78,-6.852941176470587,0
79,5.147058823529413,0
80,-3.352941176470587,0
81,11.147058823529413,0
82,8.147058823529413,0
83,-11.852941176470587,1
84,-7.352941176470587,0
85,-8.352941176470587,1
86,-10.852941176470587,1
87,-0.352941176470587,0
88,-1.352941176470587,0
89,2.147058823529413,0
90,2.647058823529413,0
91,0.14705882352941302,0
92,16.147058823529413,0
93,-10.352941176470587,1
94,4.647058823529413,0
95,-8.352941176470587,0
96,-1.352941176470587,0
97,-2.352941176470587,0
98,17.147058823529413,0
99,0.647058823529413,0
100,-4.352941176470587,0
101,4.147058823529413,0
102,0.235294117647058,0
103,-4.764705882352942,0
104,1.235294117647058,0
105,-5.764705882352942,1
106,-5.264705882352942,1
107,9.235294117647058,0
108,7.735294117647058,0
109,5.235294117647058,0
110,-1.264705882352942,0
111,-2.264705882352942,0
112,2.735294117647058,0
113,-6.264705882352942,1
114,0.235294117647058,0
115,8.235294117647058,0
116,3.735294117647058,0
117,-9.264705882352942,1
118,-3.764705882352942,0
119,-2.558823529411768,0
120,-12.058823529411768,1
121,0.44117647058823195,0
122,-4.058823529411768,1
123,1.941176470588232,0
124,7.941176470588232,0
125,-1.558823529411768,0
126,2.441176470588232,0
127,-13.558823529411768,1
128,-1.558823529411768,0
129,10.941176470588232,0
130,-4.058823529411768,0
131,10.441176470588232,0
132,7.941176470588232,0
133,-2.058823529411768,0
134,-9.558823529411768,0
135,8.941176470588232,0
136,2.055555555555557,0
137,-1.9444444444444429,1
138,11.055555555555557,0
139,-3.944444444444443,1
140,2.055555555555557,0
141,0.5555555555555571,0
142,-4.444444444444443,0
143,5.055555555555557,0
144,-7.944444444444443,1
145,7.555555555555557,0
146,2.055555555555557,0
147,7.555555555555557,0
148,0.055555555555557135,0
149,-4.444444444444443,1
150,-0.44444444444444287,0
151,6.555555555555557,0
152,0.5555555555555571,0
153,-21.944444444444443,1
154,-1.9722222222222214,0
155,-1.9722222222222214,0
156,-5.972222222222221,1
157,-3.9722222222222214,1
158,14.027777777777779,0
159,9.027777777777779,0
160,-2.4722222222222214,0
161,5.527777777777779,0
162,4.027777777777779,0
163,-18.97222222222222,1
164,1.0277777777777786,0
165,7.527777777777779,0
166,6.027777777777779,0
167,-2.9722222222222214,0
168,3.0277777777777786,0
169,-15.472222222222221,1
170,5.027777777777779,0
171,-1.4722222222222214,0
172,8.659090909090907,0
173,-2.3409090909090935,0
174,11.659090909090907,0
175,-4.3409090909090935,1
176,6.1590909090909065,0
177,4.1590909090909065,0
178,3.1590909090909065,0
179,3.6590909090909065,0
180,4.6590909090909065,0
181,-2.8409090909090935,1
182,-8.840909090909093,1
